Workstream,Capability,Live asset,Current truthful state,Next truthful state,Entry criteria,Owner,Current action,External hold,Jackie decision,Evidence,Age,Priority,Enterprise reuse,Exit condition
Publishing,CAP-002 Line Editing,"The Intentional Leader, Volume I","Developmental Editing Complete; Line Editing In Progress; controlled January 1 sample complete","Full Volume I Line Editing package QA-ready","Developmental exit completed; manuscript/style sheet locked; line-edit scope authorized",Cody,"Continue full line edit and QA",None,"Release approval for author-facing Line Editing package","Core stage a7713ff3-1e80-f111-ab0f-6045bdd69678; logs CAP002_LINE_EDITING_STARTED and CAP002_CONTROLLED_SAMPLE_COMPLETED","<1 day","P0","First reusable Line Editing proof","Full line-edit package, QA, style sheet, author-facing package, Core/SharePoint/AOC reconciled"
Publishing,Publisher Operating Center,"Internal publisher workspace","POC active for queue and bounded intake/editorial actions","Master publisher workspace across J0-J8, assets, owners, holds, next actions, package states, and downstream readiness","Current POC auth and queue proof active",Cody,"Prepare implementation branch for master workspace expansion",None,"Live deployment approval through normal PR path","Production source app/publisher/operating-center; Wave 3 Sprint 1/2 logs","Current sprint","P0","Single internal operating surface for all publishing movement","Jackie can see all active assets, blockers, owners, next action, target date, and authorized action"
Publishing,Editorial workload and asset-readiness control,"All active publishing assets","Control identified; not fully visible as one workload surface","POC/CAP-010 surface exposes stage queues, owner, age, target date, hold reason, package readiness, and readiness guard","POC snapshot data and Core stages available",Cody,"Define and implement workload-readiness view",None,None,"Backlog reconciliation; Core stage readback for five proof assets","New","P0","Prevents author-facing assets from outrunning manuscript truth","No author-facing asset implies a stage/readiness level beyond governed manuscript state"
Publishing,CAP-001 Developmental Editing,"Before You Were Born","Editorial Review Complete; Developmental Editing Not Started","Developmental plan/package prepared after downstream runway protection","Line Editing runway protected; source evidence locked",Cody,"Queue after CAP-002 immediate movement",None,"Release approval before author-facing developmental package","Core stage 88189235-8f80-f111-ab0f-6045bdd69435; log CAP001_INSTANCE_INITIALIZED","<1 day","P1","Second proof shape for Developmental Editing","Developmental package prepared, QA complete, author-facing release held for approval"
Publishing,CAP-001 Developmental Editing,"The General's Will and Last Testament","Editorial Review Complete; Developmental Editing Not Started; rights/sensitivity watchlist applies","Developmental plan/package prepared with watchlist controls","Line Editing runway protected; rights/sensitivity evidence reviewed",Cody,"Queue after CAP-002 immediate movement",None,"Publisher decision if rights/sensitivity material issue appears","Core stage c2799c31-8f80-f111-ab0f-00224820105b; log CAP001_INSTANCE_INITIALIZED","<1 day","P1","Second proof shape with risk controls","Developmental package prepared, watchlist dispositioned, author-facing release held for approval"
Publishing,Editorial Review,"The Long Watch","Editorial Review In Progress","Editorial Review Complete with governed next-stage assignment","Canonical manuscript verified; stage initialized",Cody,"Complete substantive review",None,"Only if review produces material publisher judgment","Core stage 8face475-8f80-f111-ab0f-00224820105b; log LONGWATCH_EDITORIAL_REVIEW_INITIALIZED","<1 day","P1","Editorial Review completion pattern for legacy/multi-title assets","Review memo, stage outcome, next-stage/hold recorded"
Publishing,Compilation editorial path,"Establishing Glory: The Library","Editorial Review Complete; active compilation path not yet assigned","Compilation path decision package and next editorial assignment","Source-content inventory, lineage, contract/intake evidence",Cody,"Prepare compilation crosswalk and recommendation",None,"Final publisher judgment on compilation architecture/path","Core stage a20ec2b3-4d80-f111-ab0f-6045bdd69435; CAP009 safe write log","<1 day since review completion","P1","Reusable compilation/collected-work governance","Compilation path assigned with Core hold/path update"
Publishing,Copyediting readiness,"The Intentional Leader then future titles","Not operationally certified","First Copyediting proof scoped and ready after Line Editing package","Line Editing package complete and QA-passed",Cody,"Hold until CAP-002 package reaches gate",None,"Approval before author-facing copyedit package",Backlog/roadmap dependency,"Pending CAP-002","P1","Next downstream editorial capability","Copyediting workflow proof, QA standard, Core stage behavior"
Enterprise Command,CAP-010,"Unified enterprise register","Manual refresh evidence exists; one register newly established","Daily/weekly operating rhythm using live sources/register","Execution register committed and POC/CAP-010 mapping defined",Cody,"Connect register/current sources to refresh rhythm",None,"Cadence/location approval",Enterprise-Execution-Register-v1.0.csv; CAP010 refresh logs,"New","P1","Enterprise operating cadence","Refresh reflects moved assets, holds, metrics, and actions without manual narrative drift"
Finance,CAP-007,"JM1 financial cycle","Non-posting proof can continue; opening balance on external evidence hold","Royalty/reconciliation/Stripe models advance without postings","No BC/QBO posting; evidence-only work",Cody,"Continue non-posting finance proofs","Bank/QBO/Bill.com/equity evidence hold","Finance correction decision later after evidence package","CAP-007 evidence documents and hold state","External hold","P2","Financial operations capability","Non-posting proof outputs complete; opening balance remains held until evidence arrives"
Identity,CAP-008,"Author identity lifecycle","Level 1 controlled proof complete; recovery/reset hardening remains","Level 2 candidate after recovery/reset/session revocation proof","Existing CIAM redirect/session/Core auth proof",Cody,"Schedule hardening proof after P0 publishing work",None,"Human interaction for reset proof if required","CAP-008 proof state; production auth evidence","Harden later","P3","Repeatable durable author identity","Forgot-password/reset/session revocation proof complete"
Catalog,CAP-009,"Catalog governance recurring maintenance","Safe writes proven; recurring maintenance not operational cadence","Finite exception closure and recurring cadence","Approved manifests and app write credentials",Cody,"Maintain closure manifest; no rolling undefined cleanup",None,"Only material identity/stage decisions","CAP009_BIBLIOGRAPHIC_SAFE_WRITE_EXECUTED; lane logs","Ongoing","P3","Catalog governance operating model","All remaining exceptions assigned finite route and closure event"
Marketing,CAP-011,"Author marketing profile/AOC","Level 1 controlled proof complete; UX hardening remains","Polished author profile/AOC behavior and security regression proof","CAP-008 session behavior preserved",Cody,"Defer behind P0 publishing runway",None,"Live UI approval for deployment","CAP011_LEVEL1_CONTROLLED_PROOF_COMPLETE","Harden later","P3","Author launch operations","Production proof with idempotency/retry/security and no auth regression"
Infrastructure,PROGRAM-003A,"Foundry/Claude/GPAT editorial AI support","Runtime work recognized; capacity/JSON/hierarchical path unresolved","Hierarchical manuscript analysis completes with governed logs","Capacity/routing available; structured output repaired",Cody/External,"Continue as support lane",Foundry/Claude capacity evidence,None,"PROGRAM-003A runtime docs; diagnostic runner tests","External hold","P3","AI support for editorial throughput","Shadow run completes with request/log/evidence and no author-facing state change"
Automation,Power Automate reconciliation,"Enterprise flows","Inventory not complete","Flow inventory with owners, triggers, dependencies, failures, retirement candidates","Tenant access and current live flow export",Cody,"Defer until POC/CAP-010 runway stabilized",Tenant access,None,"Unfinished process register","Deferred","P3","Automation governance","Inventory complete and integrated with capability register"
