developmental_anchor,cap002_item,manuscript_anchor,line_editing_disposition,line_editing_result,downstream_stage
DEV-COM-092,CAP001-LE-001,January 1 — Releasing the Need to Reinvent Yourself,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-093,CAP001-LE-002,January 2 — Returning to Your Own Life,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-094,CAP001-LE-003,January 3 — The Courage to See Clearly,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-095,CAP001-LE-004,January 4 — Escaping the Addiction to Urgency,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-096,CAP001-LE-005,January 5 — Protecting Your Inner Environment,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-097,CAP001-LE-006,January 6 — Learning to Trust Yourself Again,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-098,CAP001-LE-007,January 7 — Receiving Without Earning,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-099,CAP001-LE-008,January 8 — The Nervous System of Leadership,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-100,CAP001-LE-009,January 9 — Healing Internal Contradiction,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-101,CAP001-LE-010,January 10 — The Fear Beneath Impatience,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-102,CAP001-LE-011,January 11 — Listening to Yourself Honestly,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-103,CAP001-LE-012,January 12 — The Exhaustion of Overcomplication,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-104,CAP001-LE-013,January 13 — Rebuilding Trust After Pressure,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-105,CAP001-LE-014,January 14 — The Fear of Disappointing People,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-106,CAP001-LE-015,January 15 — The Difference Between Possession and Stewardship,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-107,CAP001-LE-016,January 16 — Strength Beyond Adrenaline,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-108,CAP001-LE-017,January 17 — Learning to Trust Your Inner Knowing,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-109,CAP001-LE-018,January 18 — The Armor We Build to Survive,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-110,CAP001-LE-019,January 19 — The Exhaustion of Emotional Performance,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-111,CAP001-LE-020,January 20 — The Quiet Weight of Influence,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-112,CAP001-LE-021,January 21 — Returning to Life Internally,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-113,CAP001-LE-022,January 22 — The Loneliness of Carrying Vision,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-114,CAP001-LE-023,January 23 — The Emotional Patterns We Inherit,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-115,CAP001-LE-024,January 24 — The Exhaustion of Living Against Yourself,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-116,CAP001-LE-025,January 25 — Remembering What Is Still Beautiful,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-117,CAP001-LE-026,January 26 — The Exhaustion of Avoidance,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-118,CAP001-LE-027,January 27 — Healing the Inner Taskmaster,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-119,CAP001-LE-028,January 28 — The Wisdom Gained Through Survival,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-120,CAP001-LE-029,January 29 — The Nervous System’s Longing for Safety,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-121,CAP001-LE-030,January 30 — The Humility Required to Grow,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-122,CAP001-LE-031,January 31 — Becoming the Person You Needed Earlier,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-123,CAP001-LE-032,February 1 — The Quiet Formation of Identity,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-124,CAP001-LE-033,February 2 — The Loneliness Hidden Inside Competence,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-125,CAP001-LE-034,February 3 — The Fear of Feeling Too Much,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-126,CAP001-LE-035,February 4 — The Fear of Silence,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-127,CAP001-LE-036,February 5 — Escaping Autopilot Living,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-128,CAP001-LE-037,February 6 — The Identity Built Around Carrying Too Much,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-129,CAP001-LE-038,February 7 — Returning to the Moment You’re Actually Living,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-130,CAP001-LE-039,February 8 — The Exhaustion of Emotional Fragmentation,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-131,CAP001-LE-040,February 9 — The Fear of What Clarity Might Require,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-132,CAP001-LE-041,February 10 — The Exhaustion of Always Being the Strong One,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-133,CAP001-LE-042,February 11 — Healing the Fear of Falling Behind,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-134,CAP001-LE-043,February 12 — The Emotional Cost of Constant Stimulation,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-135,CAP001-LE-044,February 13 — The Fear of Being Fully Seen,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-136,CAP001-LE-045,February 14 — The Courage to Be Tender,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-137,CAP001-LE-046,February 15 — Returning to the Room,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-138,CAP001-LE-047,February 16 — The Humility of Being Held,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-139,CAP001-LE-048,February 17 — Unbracing the Heart,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-140,CAP001-LE-049,February 18 — The Truth Beneath the Armor,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-141,CAP001-LE-050,February 19 — The Grace to Come Back,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-142,CAP001-LE-051,February 20 — Rooted Under Pressure,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-145,CAP001-LE-052,February 23 — When the Fog Begins to Lift,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-150,CAP001-LE-053,February 28 — The Sacred Open Hand,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-152,CAP001-LE-054,March 1 — When the Inner Dawn Returns,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-153,CAP001-LE-055,March 2 — Enough to Begin,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-154,CAP001-LE-056,March 3 — Movement Without Abandonment,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-155,CAP001-LE-057,March 4 — The Mercy of One Thing,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-156,CAP001-LE-058,March 5 — Making Room for Peace,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-157,CAP001-LE-059,March 6 — The First Obedient Step,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-158,CAP001-LE-060,March 7 — The Body Learns by Return,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-159,CAP001-LE-061,March 8 — The Mercy of the Present Moment,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-160,CAP001-LE-062,March 9 — Hearing Beneath the Noise,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-161,CAP001-LE-063,March 10 — Fresh Strength for a True Assignment,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-162,CAP001-LE-064,March 11 — When Control Feels Safer Than Faith,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-163,CAP001-LE-065,March 12 — The Quiet Covenant of Repetition,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-164,CAP001-LE-066,March 13 — The Larger Story,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-165,CAP001-LE-067,March 14 — Tenderness Without Collapse,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-166,CAP001-LE-068,March 15 — Loved Before Labor,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-167,CAP001-LE-069,March 16 — The Weight That Belongs to You,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-168,CAP001-LE-070,March 17 — Soft After the Storm,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-169,CAP001-LE-071,March 18 — The Quiet Authority of Discernment,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-170,CAP001-LE-072,March 19 — What Has Been Placed in Your Hands,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-171,CAP001-LE-073,March 20 — The First Green Thing,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-172,CAP001-LE-074,March 21 — The Whole Life Matters,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-173,CAP001-LE-075,March 22 — The Altar Beneath the Work,APPLIED WITH ADAPTATION,Line-level rhythm/clarity edit applied inside queued Soul Dive companion section.,Copyediting to enforce consistency and punctuation only.
DEV-COM-174,CAP001-LE-076,March 23 — The Spine of the Soul,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-179,CAP001-LE-077,March 28 — Making Room for What Is Coming,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-180,CAP001-LE-078,March 29 — The Table of Belonging,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-181,CAP001-LE-079,March 30 — Closing the Loop with Grace,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
DEV-COM-182,CAP001-LE-080,March 31 — Crossing Without Carrying Everything,RETAINED FOR VOICE,No text change made after line-level review.,Copyediting to enforce consistency and punctuation only.
